first_name,last_name,id_number,employment_start_date,monthly_salary,department,multisport
Agnieszka,Kaczmarek     ,CZ.268023.2010,2010-07-30T00:00:00,2283.0 pln,CZYSTOå∆,NIE MA
Beata,Dπbrowska,MA/831876/2017,2017/10/31,4472.0 Z£,MARKETING,false
,ZiÛ≥kowski,KA/993859/2012,2012-06-29,5779.950000000001 z≥otych,KADRY  ,ma
Stanis≥awa,stÍpieÒ,sp/384648/2013,,4371.0 z≥,SPRZEDAØ ,Nie 
Antoni,,LO/797435/2015,2015-08-23,3837.7800000000007 z≥,LOGISTYKA,nie ma
Aleksandra,Zajπc,MA/191782/2015,2015-10-12,4619.2 pln,MARKETING,False
Bogus≥aw,LASKOWSKI,SP/273180/2013,2013-06-14,4444.049999999999 z≥,,NIE MA
S≥awomir,ZiÛ≥kowski,CZ/923580/2018,2018/05/19,"2 556,2900000000004 PLN",CZYSTOå∆,True
Marcin,Zawadzki,MA/673341/2015,2015/02/04,4129.6 pln  ,MARKETING,False 
GABRIELA,wojciechowska ,ks/114063/2016,2016-06-18,5160.9800000000005 z≥otych,KSI GOWOå∆,tak
Franciszek,PAW£OWSKI,SP/623484/2014,2014-04-10,3667.0499999999997 z≥otych,SPRZEDAØ ,false 
,Szewczyk,MA-819387-2013,2013-09-22T00:00:00 ,3841.552 Z£,MARKETING,Prawda
Aneta,Jab≥oÒska,CZ/218980/2014,2014-12-16T00:00:00,3798.3 pln,CZYSTOå∆,Tak
alfred,Dudek  ,KS_922387_2014,2014-04-10  ,4691.4 z≥ ,KSI GOWOå∆,NIE
Jerzy,dπbrowski,oc/966551/2012,2012/08/18,3665.2000000000003 PLN,OCHRONA,FA£SZ
,Dudek,MA/466587/2015  ,2015-03-26,"5 096,0 PLN",MARKETING,0
gabriela,,KS/885980/2014,2014-04-10,6630.8 PLN ,KSI GOWOå∆,Tak 
Wies≥aw,JAKUBOWSKI,KA/814930/2015,2015-02-04,"4 381,85 z≥otych",KADRY,Prawda   
Tadeusz,Sikorski,KA/402364/2011,2011-05-26,4975.5 pln,KADRY ,Nie
J”ZEFA,Nowicka,OC/647120/2010,2010-06-10T00:00:00,"2 888,6000000000004 z≥otych",OCHRONA,nie
W≥adys≥aw,WrÛbel  ,SP/886447/2016,2016-11-15,4123.35 pln  ,SPRZEDAØ,ma
Zenon,sawicki,OC-791679-2014,2014-12-16,3760.7900000000004 pln  ,OCHRONA,Fa≥sz
Marzena,Pawlak,MA/591501/2016,2016-01-20,5764.000000000001 z≥otych,MARKETING,True
Pawe≥,PAWLAK,KS.761011.2012,2012-08-18,"5 082,0 PLN",KSI GOWOå∆,Tak
Maria,Paw≥owska,ma/164691/2012,2012-03-21T00:00:00,4094.4 Z£,MARKETING,nie ma
Mieczys≥aw,MACIEJEWSKI,ka/247021/2010,2010-07-30,5511.4125 PLN,KADRY,PRAWDA
Roman,SzymaÒski,ma/171895/2010,2010-12-27T00:00:00,4076.8 pln,MARKETING,False
Zenon,Kaczmarek,SP/864668/2011,2011/09/03,4123.950000000001 z≥,,Nie
zdzis≥aw ,Nowakowski,MA/258315/2018 ,2018-07-08T00:00:00,"5 512,0 pln ",MARKETING,False
Aneta,michalska,IT/955893/2010,2010/01/11,"8 116,075000000001 z≥otych",IT,TAK
Wies≥aw,Kucharski,MA/700283/2017,2017/01/04,4846.080000000001 z≥,MARKETING,nie ma
alojzy,Jaworski,CZ/180505/2014,2014-09-07,2983.42 z≥,CZYSTOå∆,PRAWDA
Jadwiga,Baran,KS.975410.2016,2016/04/29,5043.6 PLN ,KSI GOWOå∆,Nie
Sylwester  ,Sobczak,MA/439217/2016,  ,5017.76 z≥otych,MARKETING,NIE
Sabina  ,Wieczorek,MA.547201.2011,2011-09-03T00:00:00,3916.8 pln,MARKETING,NIE MA
Zdzis≥awa,nowicka,ks/561258/2012,2012-06-29,5408.0 PLN,KSI GOWOå∆,nie ma
Gertruda  ,Kowalska,LO/807733/2010,2010-12-27,4616.4195 pln ,LOGISTYKA,tak
Katarzyna,majewska,MA/112497/2012,2012-08-18,4765.376 Z£,MARKETING ,tak
Wies≥awa,dπbrowska,LO/238411/2014,2014-02-19,3310.0650000000005 z≥,LOGISTYKA,PRAWDA
Czes≥aw,Szulc,LO/533728/2016,  ,5060.880000000001 PLN,LOGISTYKA,Prawda
,Woüniak,KS/966783/2015,2015-08-23T00:00:00,6438.0 z≥otych,KSI GOWOå∆ ,False
FRANCISZKA,WrÛbel ,ks/303934/2018,2018-07-08,4734.0 z≥otych,KSI GOWOå∆,nie
Aldona,Koz≥owska,KA/268968/2013 ,2013-01-15,4587.6435 PLN,KADRY,1
Leszek,ZieliÒski ,oc/992912/2018,2018-05-19,2937.11 Z£,OCHRONA,0
Irena,Paw≥owska,SP.770674.2010,2010-03-02T00:00:00,4182.75 z≥,SPRZEDAØ,PRAWDA
Dorota,szewczyk,OC-484028-2009,2009-06-25,3595.9990000000003 Z£,OCHRONA,Prawda
Leszek,Gajewski,ka/647168/2014,2014-04-10,5138.25 z≥otych ,KADRY,Nie
Piotr,Koz≥owski,LO/154624/2018,2018-05-19 ,3564.0000000000005 Z£,LOGISTYKA,nie
Grzegorz,Krajewski,MA.459877.2018,2018-03-30,5163.68 pln,MARKETING,FA£SZ
Marianna,Tomaszewska,KS.585310.2010 ,2010-01-11,4565.8 PLN,KSI GOWOå∆,NIE
Sabina,Jankowska,SP/268499/2018,2018-07-08,4399.5 pln,SPRZEDAØ  ,Fa≥sz
Dariusz,krÛl,KA/633058/2014 ,2014-05-30,5940.22 PLN,KADRY,TAK  
EDMUND,DUDEK,KA_427872_2013,2013-12-31,3904.295 z≥,,nie ma
Artur,KamiÒski,SP-818110-2017,2017-10-31,5124.0 z≥,,NIE
Feliks,mazurek,lo/366941/2010  ,2010-09-18,4446.900000000001 Z£,LOGISTYKA  ,Fa≥sz
Marcin,StÍpieÒ,ka/450622/2013,2013-12-31T00:00:00 ,3602.2000000000003 PLN,KADRY,NIE
Roman,Tomaszewski,ma/648995/2011 ,2011/02/15 ,4150.400000000001 pln,MARKETING,FA£SZ
Kazimierz  ,KAèMIERCZAK,KS-154589-2015 ,2015-07-04T00:00:00,6359.0 z≥otych ,KSI GOWOå∆ ,NIE
Krzysztof,Lewandowski,ZA/771358/2018  ,2018-08-27,"70 627,5 Z£",ZARZ•D,nie ma
FRANCISZEK,Sikora,ka/913037/2015,2015-08-23 ,3983.0505000000003 z≥otych,KADRY,true
Bronis≥aw,wrÛbel,lo/904898/2015,2015-08-23,3152.25 z≥,LOGISTYKA,0
Anna ,Kwiatkowska,SP/538016/2014,2014-12-16T00:00:00,3335.3999999999996 PLN,SPRZEDAØ,NIE MA
Marek,w≥odarczyk,lo/674922/2015,2015-07-04T00:00:00,4284.900000000001 Z£,LOGISTYKA,NIE MA
bernadeta,,KS/388428/2010,2010-09-18,5210.0 z≥,KSI GOWOå∆,nie ma
Agnieszka  ,JasiÒska,KS/513307/2013,2013-11-11,4807.22 PLN,,PRAWDA
Leokadia,KOWALSKA,KA.541571.2011,2011-05-26 ,5900.664000000002 z≥,KADRY,true
Dariusz  ,ZiÛ≥kowski,IT/561202/2016,2016-04-29T00:00:00,6499.35 PLN,IT,tak
Rozalia,pietrzak,lo/603355/2013,2013-09-22T00:00:00,3326.4 pln,LOGISTYKA,Prawda
Wiktoria ,Kowalska,KA.604593.2017,2017-02-23,3485.0200000000004 z≥,KADRY,NIE
Olga,Paw≥owska,LO/762785/2016 ,2016-06-18,3633.3900000000003 z≥otych    ,LOGISTYKA,FA£SZ
ludwik,WYSOCKI,LO/518694/2010,2010-03-02,"3 126,6000000000004 pln",LOGISTYKA,NIE MA
Henryk ,Borkowski,CZ/783410/2015,2015-07-04 ,2872.6 z≥otych,CZYSTOå∆,false
 ,Kowalczyk,ka/441467/2016,2016-04-29T00:00:00,3687.574000000001 z≥otych,,1
Rozalia,MAJEWSKA,sp/581869/2011,2011-02-15,4359.0 z≥,SPRZEDAØ,0
Stanis≥aw,Zakrzewski,KS/429195/2013,2013/04/25  ,6900.2 z≥otych,KSI GOWOå∆,0
Julian,Koz≥owski,cz/374398/2011,2011-05-26,2310.9 z≥otych,CZYSTOå∆ ,NIE MA
Aleksander,Czarnecki  ,LO/863702/2011,2011-12-12,5005.935 z≥otych,LOGISTYKA,MA
Rozalia,MICHALSKA,LO/959562/2015,2015-02-04,4136.400000000001 z≥,LOGISTYKA,Fa≥sz 
S≥awomir,soko≥owski,KS/303332/2016 ,2016/09/26,"6 028,000000000001 z≥",KSI GOWOå∆,MA 
Helena,Witkowska,SP/257100/2012,2012/08/18,3865.5 pln ,SPRZEDAØ,nie 
Danuta,Jab≥oÒska,LO/976203/2011 ,2011-07-15,"3 362,0400000000004 Z£",LOGISTYKA,False
Marian,KRAWCZYK,KS/323020/2017,2017/10/31,"5 598,0 PLN",KSI GOWOå∆,NIE
Zuzanna,Witkowska,KA/640862/2014,2014-07-19T00:00:00,5399.735000000001 PLN,KADRY,Prawda 
hanna,Kowalczyk,LO/243449/2017,2017-12-20T00:00:00,3017.52 PLN,LOGISTYKA,false
Cezary,sikora,IT/188636/2010,2010-12-27,"7 928,250000000001 pln",IT,True
Olga ,KamiÒska,KA/614030/2013,2013/01/15,4478.864500000001 Z£,KADRY,Tak
alojzy,Krawczyk,SP/586914/2012,2012/01/31,"4 485,0 z≥  ",SPRZEDAØ,FA£SZ
JADWIGA ,Krawczyk,SP/872280/2016,2016-08-07,"3 876,8399999999997 z≥",SPRZEDAØ,Prawda
LESZEK,Szulc ,cz/275395/2016,2016/01/20,3198.0 Z£,CZYSTOå∆,NIE MA 
Waldemar,Krupa,MA/562331/2015,2015-02-04T00:00:00,4799.52 z≥,MARKETING,
Stefan,Koz≥owski,MA/717595/2014,2014-05-30T00:00:00,4026.56 pln,MARKETING,nie
ANTONI,Kowalski,SP/492611/2010,2010/04/21,3671.2500000000005 pln ,SPRZEDAØ,true
Alojzy,KWIATKOWSKI,ka/752632/2018,2018/02/08,4010.1600000000003 pln,KADRY ,MA
S≥awomir,Szewczyk,OC/864311/2013,2013-06-14,2689.5 z≥,OCHRONA ,
Janusz,Laskowski ,SP/387528/2017,2017-07-23T00:00:00,3552.0 z≥,SPRZEDAØ,FA£SZ  
Ryszard,Baran ,KS/728563/2013,2013-04-25,"6 374,060000000001 pln ",KSI GOWOå∆,MA 
Henryka,StÍpieÒ,lo/664032/2013,2013-08-03 ,4123.845 z≥,LOGISTYKA,nie ma
Henryka,,OC_951657_2014,2014/09/07 ,3128.62 Z£,OCHRONA,False
gabriela,,KS/885980/2014,2014-04-10,6630.8 PLN ,KSI GOWOå∆,Tak 
CELINA,michalska,SP-945660-2013,2013-09-22  ,"3 394,5 z≥",SPRZEDAØ,0
Marta,Baran,MA.695485.2017 ,2017-06-03,4728.0 PLN,MARKETING,FA£SZ
Grzegorz,Kwiatkowski,MA/752477/2015,2015/07/04,5592.8 PLN,MARKETING,  
Sylwia ,WR”BLEWSKA,MA/393678/2013,2013/08/03,"5 061,12 pln",MARKETING,NIE MA
Genowefa,Koz≥owska,ma/350769/2017,2017-12-20,5494.720000000001 PLN,MARKETING,Tak 
Aleksander,Kaczmarek,CZ-576807-2010 ,2010-01-11,2441.0 Z£,CZYSTOå∆,NIE MA
Grzegorz,Bπk,KA/636580/2009,2009-10-03,4902.0455 Z£,KADRY,True
krystyna,Wiúniewska,sp/326926/2012,2012-01-31T00:00:00,"3 945,1499999999996 z≥otych",SPRZEDAØ,Fa≥sz
£ucja,Zajπc,sp/252474/2018,2018-10-16T00:00:00,4131.6 z≥,SPRZEDAØ,TAK
dariusz ,Walczak,KS/158176/2013,2013-11-11,6988.0 z≥otych ,KSI GOWOå∆,Fa≥sz
Andrzej ,Nowak ,MA/723389/2012,2012/06/29,4712.0 z≥ ,MARKETING,False
iwona,Witkowska,sp/947451/2010 ,2010-06-10T00:00:00,"5 240,4 pln",SPRZEDAØ,false
Ireneusz ,Maciejewski,sp/896504/2012,2012-06-29T00:00:00,4331.745000000001 Z£,SPRZEDAØ,Prawda
graøyna,Nowak ,ks/920154/2011 ,2011-09-03,4226.6 Z£,KSI GOWOå∆,NIE MA
Miros≥awa,Dudek,KS/678007/2016,2016-03-10,"6 571,8 PLN",KSI GOWOå∆,false
Zbigniew,Michalski,MA.151216.2010,2010-11-07,3408.6400000000003 z≥otych,MARKETING,false
Alojzy ,KRAWCZYK,LO_175127_2010,2010-12-27T00:00:00,"4 079,7000000000003 Z£",LOGISTYKA,Nie
Alfred,UrbaÒski,CZ-330668-2015,2015/10/12,3485.0 Z£,CZYSTOå∆,FA£SZ
PRZEMYS£AW,Sikorski,sp/626778/2014,2014/09/07,4327.5 z≥,SPRZEDAØ,Nie 
Arkadiusz,Pawlak,IT/189661/2015,2015-02-04,5958.75 pln,,FA£SZ
jaros≥aw,Kowalski,KS/829514/2014 ,2014/04/10,4907.0 z≥,KSI GOWOå∆,false
Agnieszka,Walczak,CZ.429126.2010,2010-04-21T00:00:00,3428.1 Z£,CZYSTOå∆,FA£SZ
Witold,Lis,IT-620845-2012,2012-01-31   ,6587.25 z≥otych,IT,False
Monika ,Mazur,LO/719230/2011,2011/04/06,3654.8550000000005 Z£,LOGISTYKA,false
SABINA,Witkowska,cz/896551/2010,2010/01/11,2866.0 pln ,CZYSTOå∆,Nie
Aneta,KACZMAREK,CZ/661111/2010,2010/01/11,3228.0 PLN,CZYSTOå∆,nie
Wies≥aw,Makowski,sp/476009/2017,2017-06-03T00:00:00,"4 293,299999999999 z≥",SPRZEDAØ,false 
Arkadiusz,Zajπc,MA/884974/2015,2015-08-23,"3 677,2800000000007 PLN",MARKETING,Fa≥sz
Andrzej,Malinowski,KA_697760_2015,2015-05-15,4796.165000000001 z≥     ,KADRY,NIE
Katarzyna,Witkowska,LO/147916/2013,2013/11/11,4638.6 z≥,LOGISTYKA,0
Adam,kaümierczak,ma/731416/2014,2014-02-19T00:00:00,"4 414,88 pln",MARKETING,Fa≥sz
Ryszard,KamiÒski,LO/590409/2013,2013-03-06,3541.428000000001 z≥otych ,LOGISTYKA ,Tak
Lucjan,Zalewski,CZ.165193.2014,2014-05-30 ,2754.4 z≥,CZYSTOå∆,MA 
Alojzy,ZiÛ≥kowski,lo/274150/2018,2018-03-30,3624.8850000000007 z≥,LOGISTYKA,
Zdzis≥awa,Dπbrowska,SP/432966/2015,2015/05/15,3591.6000000000004 Z£,SPRZEDAØ,0
Aldona,dπbrowska,sp/795416/2011,2011/09/03  ,"5 161,35 Z£",SPRZEDAØ,FA£SZ
Zenon,Lewandowski,OC/214621/2017,2017/01/04,2997.5000000000005 Z£,OCHRONA,
DANUTA,JASI—SKA,sp/525498/2012,2012-06-29,4915.35 Z£,SPRZEDAØ,
leon,KrÛl,lo/842967/2010,2010-12-27,"3 529,4400000000005 pln",LOGISTYKA,nie ma
jÛzef,Lewandowski,ks/342243/2016,2016-01-20,7616.400000000001 Z£,KSI GOWOå∆,True
MARIUSZ,Walczak,sp/742175/2009,2009-11-22T00:00:00,4692.6 z≥,SPRZEDAØ,tak
Adela,GÛrska,SP-926534-2017,2017/12/20,4375.5 z≥otych,SPRZEDAØ,NIE
Edward,Laskowski  ,ks/327841/2013,2013-08-03 ,4202.8 z≥otych,KSI GOWOå∆,NIE MA
Michalina,Piotrowska,ma/539982/2018,2018-10-16,4428.8 Z£,MARKETING,nie
Franciszek,Borkowski,sp/700021/2016,2016-09-26T00:00:00,4663.56 z≥otych,SPRZEDAØ,Tak
Eugeniusz,Szewczyk,SP/493308/2016,2016-03-10,4891.5 z≥otych,SPRZEDAØ,nie ma
aleksander,Kucharski,KS/997451/2017 ,2017-12-20T00:00:00,5234.0 z≥,KSI GOWOå∆,
Antonina,GÛrska,LO/318264/2017,2017/09/11,3138.75 z≥,LOGISTYKA,NIE
,SzczepaÒski,SP/168248/2013,2013/06/14,4598.55 z≥,SPRZEDAØ,True
Jacek,StÍpieÒ,MA.885095.2011,2011-10-23T00:00:00,"3 643,0400000000004 PLN",MARKETING,nie ma  
cezary,Jankowski,CZ/897805/2015,2015-05-15,2612.0 pln,CZYSTOå∆,False
Sabina ,Piotrowska,ka/112513/2015,2015/03/26,4362.754000000001 pln,KADRY,true
Hanna,Nowakowska,LO/361340/2014,2014-12-16,3171.9600000000005 Z£,LOGISTYKA,Prawda
Bogus≥aw,Dπbrowski,SP/872200/2013,2013/12/31,3463.5 PLN,SPRZEDAØ  ,False
Tomasz,Chmielewski,SP-547894-2013,2013-08-03,3913.9649999999997 PLN,SPRZEDAØ,True
Gertruda,Mazur,ks/806538/2016,2016/08/07,5828.0 Z£,KSI GOWOå∆,nie
Eugeniusz,Sadowski ,KA/781481/2014,2014-09-07T00:00:00,4756.950000000001 z≥,KADRY,MA
leokadia  ,KOWALSKA ,za/618706/2017,2017-09-11,81075.0 pln,ZARZ•D,false
Kazimierz,Krupa ,KS/960915/2015 ,2015-07-04T00:00:00 ,5354.0 pln,KSI GOWOå∆,nie ma
Stefania,,LO/272524/2016,2016-03-10,3227.175 z≥,LOGISTYKA,NIE MA
WERONIKA,MAJEWSKA,ma/507254/2018,2018-03-30,5348.4800000000005 Z£,MARKETING,NIE
LUCJAN,Dudek,IT/623349/2018,2018-03-30,8493.75 Z£,IT,FA£SZ
kazimiera,Paw≥owska,lo/366880/2010,2010-06-10,"3 110,5350000000003 z≥",LOGISTYKA,NIE
Jolanta,ostrowska,SP.614280.2012,2012-05-10,3222.4500000000003 z≥otych ,SPRZEDAØ,False
Justyna,Kwiatkowska ,ks/111502/2018,2018-03-30,6608.6 Z£,KSI GOWOå∆,FA£SZ
Sabina,Sikora,MA/676898/2011,2011-07-15  ,4120.0 Z£,MARKETING,Nie
Bernadeta,Walczak,ZA/872030/2010,2010-11-07,76255.0 Z£,ZARZ•D,nie ma
